age	workclass	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country
(16.927, 24.3]	Private-h1	Some-college	10	Single	Sales	Not-in-family	White-h1	Male	0	0	45	United-States
(53.5, 60.8]	government department	HS-grad	9	Widowhood	Sales	Unmarried	White-h1	Female	0	0	40	Germany
(38.9, 46.2]	Private-h1	Bachelors	13	Single	Other-service	Not-in-family	White-h1	Male	0	0	37	United-States
(53.5, 60.8]	Self-employed	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	0	0	60	United-States
(31.6, 38.9]	Private-h1	Masters	14	Married-h1	Prof-specialty	Husband	White-h1	Male	15024	0	44	United-States
(24.3, 31.6]	Self-employed	Some-college	10	Single	Exec-managerial	Not-in-family	White-h1	Female	0	0	60	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	50	United-States
(60.8, 68.1]	Self-employed	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	35	United-States
(46.2, 53.5]	Self-employed	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	7298	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Own-child	White-h1	Male	0	0	30	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	39	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	54	United-States
(38.9, 46.2]	government department	HS-grad	9	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Farming-fishing	Husband	White-h1	Male	0	0	54	Mexico
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	45	United-States
(24.3, 31.6]	government department	Masters	14	Married-h1	Prof-specialty	Wife	White-h1	Female	0	0	50	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Handlers-cleaners	Own-child	White-h1	Male	0	0	28	United-States
(38.9, 46.2]	Private-h1	Assoc-voc	11	Married-h1	Craft-repair	Husband	White-h1	Male	3411	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Widowhood	Transport-moving	Unmarried	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	60	United-States
(53.5, 60.8]	Private-h1	Assoc-acdm	12	Married-h1	Tech-support	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Wife	White-h1	Female	0	1977	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	Non-White	Female	0	0	40	United-States
(60.8, 68.1]	Private-h1	Bachelors	13	Married-h1	Adm-clerical	Husband	White-h1	Male	10605	0	20	United-States
(82.7, 90.0]	Self-employed	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Transport-moving	Not-in-family	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	43	United-States
(46.2, 53.5]	Private-h1	11th	7	Single	Other-service	Not-in-family	Non-White	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Masters	14	Married-h1	Farming-fishing	Not-in-family	White-h1	Male	0	0	99	United-States
(16.927, 24.3]	Private-h1	Assoc-voc	11	Single	Other-service	Not-in-family	White-h1	Male	0	0	30	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Assoc-voc	11	Single	Adm-clerical	Own-child	White-h1	Female	0	0	30	United-States
(46.2, 53.5]	government department	HS-grad	9	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	48	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	40	United-States
(16.927, 24.3]	government department	11th	7	Single	Other-service	Not-in-family	Non-White	Male	0	0	45	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Single	Exec-managerial	Not-in-family	White-h1	Female	0	0	45	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	government department	Some-college	10	Single	Exec-managerial	Own-child	Non-White	Female	0	0	40	United-States
(60.8, 68.1]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	30	United-States
(16.927, 24.3]	government department	Bachelors	13	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	65	United-States
(24.3, 31.6]	government department	Bachelors	13	Single	Prof-specialty	Own-child	White-h1	Male	0	0	35	United-States
(46.2, 53.5]	Private-h1	Assoc-voc	11	Single	Other-service	Not-in-family	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	60	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Married-h1	Tech-support	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Own-child	White-h1	Female	0	0	25	United-States
(46.2, 53.5]	government department	Bachelors	13	Single	Prof-specialty	Not-in-family	Non-White	Female	0	0	40	United-States
(46.2, 53.5]	government department	Assoc-acdm	12	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	60	United-States
(53.5, 60.8]	Private-h1	Masters	14	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	55	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Own-child	White-h1	Female	0	0	40	Dominican-Republic
(38.9, 46.2]	government department	HS-grad	9	Married-h1	Adm-clerical	Husband	Non-White	Male	0	0	80	United-States
(24.3, 31.6]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	50	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	35	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Single	Other-service	Not-in-family	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(60.8, 68.1]	Self-employed	Masters	14	Married-h1	Sales	Husband	White-h1	Male	0	0	40	United-States
(60.8, 68.1]	government department	HS-grad	9	Married-h1	Protective-serv	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	42	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	45	United-States
(38.9, 46.2]	Self-employed	Some-college	10	Married-h1	Sales	Husband	White-h1	Male	5178	0	60	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Adm-clerical	Own-child	White-h1	Male	0	0	62	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Single	Craft-repair	Unmarried	White-h1	Female	0	0	20	United-States
(53.5, 60.8]	Private-h1	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	15024	0	45	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Own-child	White-h1	Male	0	0	16	United-States
(46.2, 53.5]	Self-employed	Some-college	10	Married-h1	Craft-repair	Husband	Non-White	Male	7688	0	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Exec-managerial	Not-in-family	White-h1	Male	4650	0	45	United-States
(31.6, 38.9]	Private-h1	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Self-employed	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Widowhood	Adm-clerical	Own-child	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	60	United-States
(38.9, 46.2]	Self-employed	Some-college	10	Married-h1	Farming-fishing	Husband	White-h1	Male	0	0	60	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	40	England
(68.1, 75.4]	Self-employed	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	35	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	1902	40	United-States
(46.2, 53.5]	government department	HS-grad	9	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	45	United-States
(24.3, 31.6]	Private-h1	11th	7	Married-h1	Other-service	Not-in-family	Non-White	Female	0	0	42	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Sales	Not-in-family	White-h1	Female	0	0	30	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Female	0	0	24	United-States
(38.9, 46.2]	Self-employed	HS-grad	9	Married-h1	Sales	Other-relative	White-h1	Female	0	0	40	Cuba
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Own-child	White-h1	Female	0	0	30	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Single	Adm-clerical	Own-child	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Masters	14	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	45	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Not-in-family	White-h1	Female	0	0	25	United-States
(31.6, 38.9]	government department	HS-grad	9	Widowhood	Exec-managerial	Not-in-family	White-h1	Female	0	0	40	United-States
(60.8, 68.1]	Self-employed	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	59	United-States
(31.6, 38.9]	government department	Some-college	10	Single	Other-service	Not-in-family	White-h1	Male	0	0	12	United-States
(60.8, 68.1]	Private-h1	Some-college	10	Widowhood	Other-service	Not-in-family	White-h1	Female	0	0	20	United-States
(53.5, 60.8]	Self-employed	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	99999	0	60	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Wife	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Handlers-cleaners	Own-child	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Self-employed	Masters	14	Married-h1	Exec-managerial	Husband	White-h1	Male	15024	0	50	United-States
(46.2, 53.5]	Self-employed	Some-college	10	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	60	United-States
(46.2, 53.5]	government department	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	43	United-States
(24.3, 31.6]	Self-employed	Some-college	10	Single	Transport-moving	Not-in-family	White-h1	Male	0	1762	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	Non-White	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	50	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Sales	Husband	White-h1	Male	0	0	50	United-States
(38.9, 46.2]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	government department	Some-college	10	Married-h1	Adm-clerical	Not-in-family	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	48	United-States
(68.1, 75.4]	Private-h1	HS-grad	9	Widowhood	Other-service	Not-in-family	White-h1	Female	0	0	37	United-States
(16.927, 24.3]	Self-employed	Some-college	10	Single	Craft-repair	Own-child	White-h1	Male	0	0	35	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Female	0	0	45	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	1887	40	United-States
(46.2, 53.5]	Self-employed	Some-college	10	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	35	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	37	United-States
(38.9, 46.2]	government department	Bachelors	13	Single	Protective-serv	Not-in-family	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Single	Exec-managerial	Unmarried	Non-White	Female	0	0	45	United-States
(24.3, 31.6]	Private-h1	Some-college	10	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Assoc-acdm	12	Single	Other-service	Not-in-family	White-h1	Female	0	0	80	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Tech-support	Not-in-family	Non-White	Female	0	0	40	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Unmarried	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	government department	Bachelors	13	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	1977	40	United-States
(60.8, 68.1]	Private-h1	Bachelors	13	Married-h1	Protective-serv	Husband	White-h1	Male	6514	0	7	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	35	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Sales	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Male	0	1876	50	United-States
(38.9, 46.2]	government department	Assoc-acdm	12	Single	Prof-specialty	Unmarried	Non-White	Female	0	0	40	Philippines
(16.927, 24.3]	Private-h1	Some-college	10	Single	Farming-fishing	Own-child	Non-White	Male	0	0	10	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Wife	White-h1	Female	5178	0	40	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Self-employed	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	15024	0	50	United-States
(53.5, 60.8]	Private-h1	10th	6	Married-h1	Other-service	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Exec-managerial	Not-in-family	White-h1	Male	0	0	45	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(60.8, 68.1]	Self-employed	1st-4th	2	Widowhood	Other-service	Unmarried	White-h1	Female	0	0	30	El-Salvador
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	65	United-States
(38.9, 46.2]	Private-h1	Masters	14	Married-h1	Prof-specialty	Husband	Non-White	Male	0	0	35	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Married-h1	Handlers-cleaners	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	5th-6th	3	Married-h1	Craft-repair	Husband	White-h1	Male	0	1628	50	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Other-service	Not-in-family	White-h1	Male	0	0	57	United-States
(38.9, 46.2]	Private-h1	Assoc-acdm	12	Married-h1	Tech-support	Husband	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	government department	Some-college	10	Single	Other-service	Own-child	Non-White	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	government department	Some-college	10	Single	Armed-Forces	Not-in-family	Non-White	Male	0	0	60	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Other-service	Unmarried	Non-White	Female	0	0	40	Japan
(53.5, 60.8]	Self-employed	Some-college	10	Married-h1	Transport-moving	Wife	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Self-employed	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	50	United-States
(24.3, 31.6]	Private-h1	Assoc-voc	11	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	48	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Married-h1	Machine-op-inspct	Husband	White-h1	Male	0	0	43	United-States
(24.3, 31.6]	Private-h1	Assoc-voc	11	Single	Machine-op-inspct	Not-in-family	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	5th-6th	3	Single	Adm-clerical	Own-child	White-h1	Female	0	0	40	Mexico
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Sales	Husband	White-h1	Male	0	0	45	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Wife	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	government department	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Prof-specialty	Not-in-family	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Single	Adm-clerical	Unmarried	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Married-h1	Handlers-cleaners	Husband	White-h1	Male	0	0	50	Canada
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Own-child	White-h1	Female	0	0	40	United-States
(31.6, 38.9]	Private-h1	Doctorate	16	Married-h1	Prof-specialty	Husband	White-h1	Male	7298	0	40	United-States
(38.9, 46.2]	government department	Bachelors	13	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	Bachelors	13	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	45	United-States
(60.8, 68.1]	government department	HS-grad	9	Widowhood	Adm-clerical	Unmarried	White-h1	Female	1471	0	35	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Adm-clerical	Own-child	White-h1	Male	0	0	30	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Male	0	0	50	United-States
(53.5, 60.8]	Private-h1	Some-college	10	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	24	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Adm-clerical	Husband	White-h1	Male	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Widowhood	Other-service	Unmarried	Non-White	Female	0	0	40	India
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Sales	Own-child	Non-White	Female	0	0	20	United-States
(24.3, 31.6]	Private-h1	11th	7	Single	Other-service	Unmarried	Non-White	Female	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Other-relative	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Machine-op-inspct	Not-in-family	White-h1	Female	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Machine-op-inspct	Not-in-family	Non-White	Male	0	0	35	United-States
(53.5, 60.8]	Private-h1	Prof-school	15	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	60	United-States
(46.2, 53.5]	Private-h1	Assoc-voc	11	Married-h1	Prof-specialty	Husband	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Some-college	10	Single	Prof-specialty	Not-in-family	White-h1	Female	3674	0	16	United-States
(38.9, 46.2]	Private-h1	Bachelors	13	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	40	United-States
(68.1, 75.4]	Private-h1	Bachelors	13	Single	Tech-support	Own-child	White-h1	Female	2329	0	16	United-States
(31.6, 38.9]	government department	Some-college	10	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	government department	Prof-school	15	Single	Prof-specialty	Unmarried	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	Private-h1	Masters	14	Widowhood	Prof-specialty	Not-in-family	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Single	Adm-clerical	Not-in-family	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	government department	HS-grad	9	Single	Adm-clerical	Own-child	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	Non-White	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Adm-clerical	Own-child	White-h1	Female	0	0	40	United-States
(60.8, 68.1]	Self-employed	Bachelors	13	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	50	Germany
(31.6, 38.9]	Private-h1	Some-college	10	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	50	United-States
(31.6, 38.9]	Self-employed	Bachelors	13	Married-h1	Craft-repair	Husband	White-h1	Male	7688	0	50	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Married-h1	Sales	Own-child	White-h1	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	Private-h1	5th-6th	3	Single	Machine-op-inspct	Not-in-family	Non-White	Male	0	0	40	United-States
(60.8, 68.1]	Self-employed	HS-grad	9	Married-h1	Farming-fishing	Husband	White-h1	Male	0	1848	60	United-States
(38.9, 46.2]	Private-h1	10th	6	Single	Craft-repair	Other-relative	Non-White	Male	0	0	55	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Tech-support	Not-in-family	White-h1	Male	0	0	37	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	White-h1	Male	0	0	50	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Machine-op-inspct	Own-child	White-h1	Male	0	0	40	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Craft-repair	Not-in-family	White-h1	Male	0	0	41	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Craft-repair	Husband	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	HS-grad	9	Single	Other-service	Not-in-family	White-h1	Female	0	0	24	United-States
(46.2, 53.5]	Private-h1	Some-college	10	Single	Sales	Unmarried	White-h1	Female	0	0	40	Italy
(24.3, 31.6]	government department	Assoc-voc	11	Single	Exec-managerial	Not-in-family	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Self-employed	HS-grad	9	Single	Exec-managerial	Unmarried	White-h1	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Machine-op-inspct	Wife	Non-White	Female	0	0	40	United-States
(46.2, 53.5]	government department	Some-college	10	Widowhood	Adm-clerical	Not-in-family	Non-White	Female	0	0	40	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Exec-managerial	Husband	Non-White	Male	99999	0	40	Japan
(16.927, 24.3]	Private-h1	10th	6	Single	Handlers-cleaners	Own-child	White-h1	Male	0	0	40	United-States
(24.3, 31.6]	Private-h1	Assoc-acdm	12	Single	Other-service	Own-child	Non-White	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	Masters	14	Single	Other-service	Not-in-family	White-h1	Female	0	0	30	Poland
(38.9, 46.2]	Self-employed	Bachelors	13	Married-h1	Sales	Husband	White-h1	Male	0	0	52	United-States
(38.9, 46.2]	government department	Assoc-voc	11	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	35	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Sales	Unmarried	Non-White	Female	0	0	40	United-States
(38.9, 46.2]	Self-employed	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	55	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Farming-fishing	Husband	White-h1	Male	0	0	40	United-States
(60.8, 68.1]	Private-h1	Masters	14	Married-h1	Sales	Husband	White-h1	Male	20051	0	40	United-States
(31.6, 38.9]	Private-h1	Bachelors	13	Single	Exec-managerial	Unmarried	White-h1	Female	0	0	40	Canada
(24.3, 31.6]	Private-h1	Some-college	10	Married-h1	Adm-clerical	Own-child	White-h1	Male	0	0	40	United-States
(16.927, 24.3]	Private-h1	Bachelors	13	Single	Sales	Not-in-family	White-h1	Male	0	0	50	United-States
(24.3, 31.6]	government department	Bachelors	13	Single	Prof-specialty	Not-in-family	White-h1	Male	0	0	45	United-States
(16.927, 24.3]	Private-h1	Some-college	10	Single	Handlers-cleaners	Own-child	White-h1	Male	0	0	50	United-States
(31.6, 38.9]	Self-employed	HS-grad	9	Married-h1	Exec-managerial	Husband	White-h1	Male	0	0	60	United-States
(38.9, 46.2]	Private-h1	Some-college	10	Single	Machine-op-inspct	Own-child	White-h1	Male	0	0	45	United-States
(31.6, 38.9]	Private-h1	HS-grad	9	Single	Sales	Not-in-family	Non-White	Male	0	0	44	United-States
(38.9, 46.2]	Self-employed	Some-college	10	Single	Exec-managerial	Other-relative	White-h1	Male	0	1564	70	Iran
(16.927, 24.3]	Private-h1	11th	7	Single	Other-service	Own-child	White-h1	Male	0	0	5	United-States
(24.3, 31.6]	Private-h1	Bachelors	13	Single	Tech-support	Not-in-family	White-h1	Female	0	0	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Single	Sales	Unmarried	White-h1	Female	0	1762	30	United-States
(16.927, 24.3]	government department	HS-grad	9	Single	Adm-clerical	Unmarried	Non-White	Female	0	0	40	United-States
(38.9, 46.2]	Private-h1	10th	6	Single	Machine-op-inspct	Not-in-family	Non-White	Male	0	0	40	United-States
(38.9, 46.2]	Private-h1	10th	6	Single	Transport-moving	Unmarried	White-h1	Male	0	0	40	United-States
(53.5, 60.8]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	Non-White	Male	5013	0	40	United-States
(53.5, 60.8]	Self-employed	Masters	14	Married-h1	Sales	Husband	White-h1	Male	0	0	50	United-States
(46.2, 53.5]	Private-h1	10th	6	Married-h1	Handlers-cleaners	Husband	White-h1	Male	2105	0	45	United-States
(46.2, 53.5]	Private-h1	HS-grad	9	Married-h1	Transport-moving	Husband	White-h1	Male	0	0	60	United-States
(38.9, 46.2]	Private-h1	HS-grad	9	Single	Adm-clerical	Not-in-family	White-h1	Female	0	0	40	United-States
